provinsi,gk.makanan.perkotaan.2015.maret,gk.makanan.perkotaan.2015.september,gk.makanan.perkotaan.2016.maret,gk.makanan.perkotaan.2016.september,gk.makanan.perdesaan.2015.maret,gk.makanan.perdesaan.2015.september,gk.makanan.perdesaan.2016.maret,gk.makanan.perdesaan.2016.september,gk.makanan.perdesaanperkotaan.2015.maret,gk.makanan.perdesaanperkotaan.2015.september,gk.makanan.perdesaanperkotaan.2016.maret,gk.makanan.perdesaanperkotaan.2016.september,gk.makanan.perkotaan.2017.maret,gk.makanan.perkotaan.2017.september,gk.makanan.perkotaan.2018.maret,gk.makanan.perkotaan.2018.september,gk.makanan.perdesaan.2017.maret,gk.makanan.perdesaan.2017.september,gk.makanan.perdesaan.2018.maret,gk.makanan.perdesaan.2018.september,gk.makanan.perdesaanperkotaan.2017.maret,gk.makanan.perdesaanperkotaan.2017.september,gk.makanan.perdesaanperkotaan.2018.maret,gk.makanan.perdesaanperkotaan.2018.september,gk.makanan.perkotaan.2019.maret,gk.makanan.perkotaan.2019.september,gk.makanan.perkotaan.2020.maret,gk.makanan.perkotaan.2020.september,gk.makanan.perdesaan.2019.maret,gk.makanan.perdesaan.2019.september,gk.makanan.perdesaan.2020.maret,gk.makanan.perdesaan.2020.september,gk.makanan.perdesaanperkotaan.2019.maret,gk.makanan.perdesaanperkotaan.2019.september,gk.makanan.perdesaanperkotaan.2020.maret,gk.makanan.perdesaanperkotaan.2020.september,gk.makanan.perkotaan.2021.maret,gk.makanan.perkotaan.2021.september,gk.makanan.perkotaan.2022.maret,gk.makanan.perkotaan.2022.september,gk.makanan.perdesaan.2021.maret,gk.makanan.perdesaan.2021.september,gk.makanan.perdesaan.2022.maret,gk.makanan.perdesaan.2022.september,gk.makanan.perdesaanperkotaan.2021.maret,gk.makanan.perdesaanperkotaan.2021.september,gk.makanan.perdesaanperkotaan.2022.maret,gk.makanan.perdesaanperkotaan.2022.september,gk.nonmakanan.perkotaan.2015.maret,gk.nonmakanan.perkotaan.2015.september,gk.nonmakanan.perkotaan.2016.maret,gk.nonmakanan.perkotaan.2016.september,gk.nonmakanan.perdesaan.2015.maret,gk.nonmakanan.perdesaan.2015.september,gk.nonmakanan.perdesaan.2016.maret,gk.nonmakanan.perdesaan.2016.september,gk.nonmakanan.perdesaanperkotaan.2015.maret,gk.nonmakanan.perdesaanperkotaan.2015.september,gk.nonmakanan.perdesaanperkotaan.2016.maret,gk.nonmakanan.perdesaanperkotaan.2016.september,gk.nonmakanan.perkotaan.2017.maret,gk.nonmakanan.perkotaan.2017.september,gk.nonmakanan.perkotaan.2018.maret,gk.nonmakanan.perkotaan.2018.september,gk.nonmakanan.perdesaan.2017.maret,gk.nonmakanan.perdesaan.2017.september,gk.nonmakanan.perdesaan.2018.maret,gk.nonmakanan.perdesaan.2018.september,gk.nonmakanan.perdesaanperkotaan.2017.maret,gk.nonmakanan.perdesaanperkotaan.2017.september,gk.nonmakanan.perdesaanperkotaan.2018.maret,gk.nonmakanan.perdesaanperkotaan.2018.september,gk.nonmakanan.perkotaan.2019.maret,gk.nonmakanan.perkotaan.2019.september,gk.nonmakanan.perkotaan.2020.maret,gk.nonmakanan.perkotaan.2020.september,gk.nonmakanan.perdesaan.2019.maret,gk.nonmakanan.perdesaan.2019.september,gk.nonmakanan.perdesaan.2020.maret,gk.nonmakanan.perdesaan.2020.september,gk.nonmakanan.perdesaanperkotaan.2019.maret,gk.nonmakanan.perdesaanperkotaan.2019.september,gk.nonmakanan.perdesaanperkotaan.2020.maret,gk.nonmakanan.perdesaanperkotaan.2020.september,gk.nonmakanan.perkotaan.2021.maret,gk.nonmakanan.perkotaan.2021.september,gk.nonmakanan.perkotaan.2022.maret,gk.nonmakanan.perkotaan.2022.september,gk.nonmakanan.perdesaan.2021.maret,gk.nonmakanan.perdesaan.2021.september,gk.nonmakanan.perdesaan.2022.maret,gk.nonmakanan.perdesaan.2022.september,gk.nonmakanan.perdesaanperkotaan.2021.maret,gk.nonmakanan.perdesaanperkotaan.2021.september,gk.nonmakanan.perdesaanperkotaan.2022.maret,gk.nonmakanan.perdesaanperkotaan.2022.september,gk.total.perkotaan.2013.maret,gk.total.perkotaan.2013.september,gk.total.perkotaan.2014.maret,gk.total.perkotaan.2014.september,gk.total.perdesaan.2013.maret,gk.total.perdesaan.2013.september,gk.total.perdesaan.2014.maret,gk.total.perdesaan.2014.september,gk.total.perdesaanperkotaan.2013.maret,gk.total.perdesaanperkotaan.2013.september,gk.total.perdesaanperkotaan.2014.maret,gk.total.perdesaanperkotaan.2014.september,gk.total.perkotaan.2015.maret,gk.total.perkotaan.2015.september,gk.total.perkotaan.2016.maret,gk.total.perkotaan.2016.september,gk.total.perdesaan.2015.maret,gk.total.perdesaan.2015.september,gk.total.perdesaan.2016.maret,gk.total.perdesaan.2016.september,gk.total.perdesaanperkotaan.2015.maret,gk.total.perdesaanperkotaan.2015.september,gk.total.perdesaanperkotaan.2016.maret,gk.total.perdesaanperkotaan.2016.september,gk.total.perkotaan.2017.maret,gk.total.perkotaan.2017.september,gk.total.perkotaan.2018.maret,gk.total.perkotaan.2018.september,gk.total.perdesaan.2017.maret,gk.total.perdesaan.2017.september,gk.total.perdesaan.2018.maret,gk.total.perdesaan.2018.september,gk.total.perdesaanperkotaan.2017.maret,gk.total.perdesaanperkotaan.2017.september,gk.total.perdesaanperkotaan.2018.maret,gk.total.perdesaanperkotaan.2018.september,gk.total.perkotaan.2019.maret,gk.total.perkotaan.2019.september,gk.total.perkotaan.2020.maret,gk.total.perkotaan.2020.september,gk.total.perdesaan.2019.maret,gk.total.perdesaan.2019.september,gk.total.perdesaan.2020.maret,gk.total.perdesaan.2020.september,gk.total.perdesaanperkotaan.2019.maret,gk.total.perdesaanperkotaan.2019.september,gk.total.perdesaanperkotaan.2020.maret,gk.total.perdesaanperkotaan.2020.september,gk.total.perkotaan.2021.maret,gk.total.perkotaan.2021.september,gk.total.perkotaan.2022.maret,gk.total.perkotaan.2022.september,gk.total.perdesaan.2021.maret,gk.total.perdesaan.2021.september,gk.total.perdesaan.2022.maret,gk.total.perdesaan.2022.september,gk.total.perdesaanperkotaan.2021.maret,gk.total.perdesaanperkotaan.2021.september,gk.total.perdesaanperkotaan.2022.maret,gk.total.perdesaanperkotaan.2022.september
DKI JAKARTA,319595.0,327678.0,329644.0,334938.0,266264.7878787879,275124.0967741936,287316.1515151515,291649.6060606061,319595.0,327678.0,329644.0,334938.0,347382.0,383192.0,394158.0,408790.0,302241.625,307069.3939393939,321968.78125,325649.4375,347382.0,383192.0,394158,408790.0,429915.0,451918.0,466156.0,467847.0,338706.1212121212,351876.4375,358278.96774193546,363499.67647058825,337591.84375,451918,466156.0,467847.0,479332.0,490918.0,508239.0,534819.0,372772.96774193546,384677.0,401944.2121212121,423701.875,479332,490918.0,508239.0,534819.0,167793.0,175361.0,180715.0,185752.0,75669.21875,80060.875,82889.46875,84715.56666666667,167793.0,175361.0,180715.0,185752.0,189163.0,195054.0,198949.0,198987,89221.74193548386,89454.36666666667,96030.34375,98872.48484848485,189163.0,195054,198949.0,198987.0,207345.0,211437,214245.0,215491.0,102005.58064516129,103885.40625,112319.43333333333,114210.74193548386,207345.0,211437.0,214245,215491.0,218306.0,224134.0,230716.0,238551.0,116392.21875,120602.33333333333,125233.39393939394,134341.67741935485,218306.0,224134,230716.0,238551.0,407437.0,434322.0,447797.0,459560.0,268559.1666666667,434322.0,304420.6451612903,312594.06451612903,,,,,487388.0,503038.0,510359.0,520690.0,337648.86666666664,360935.32258064515,368300.4516129032,369049.0333333333,487388,503039,510359.0,520690.0,536546.0,578247,593108.0,459224.3548387097,388259.96875,401420.63333333336,413154.0,430205.93548387097,536545.0,578246.0,593107.0,607778.0,637260.0,663355.0,680401.0,683339.0,445719.3870967742,460466.625,466396.6451612903,475733.1212121212,637260.0,663355.0,680401.0,683338.0,697638.0,715052.0,738955.0,773370.0,486128.0967741936,511958.75,525804.4117647059,561981.3,697638,715052.0,738955.0,773370.0
JAWA BARAT,213479.0,223843.0,228191.0,233953.0,231259.0,241132.0,246605.0,250274.0,219290.0,229494.0,234108.0,238945.0,244750.0,250654.0,263583.0,266339.0,257238.0,265183.0,274016.0,276660.0,248505.0,254799.0,266531,269064.0,280844.0,291607.0,299959.0,303465.0,284171.0,295872.0,307253.0,312563.0,337591.84375,292718,301806.0,305687.0,313015.0,321499.0,331420.0,353253.0,319590.0,330150.0,343615.0,361697.0,314572,323525.0,334224.0,355172.0,94009.0,94454.0,96826.0,98192.0,74358.0,78096.0,78332.0,80963.0,87586.0,89107.0,90884.0,93174.0,100400.0,104212.0,105097.0,105920,84444.0,87921.0,90136.0,91144.0,95922.0,99879,101223.0,102311.0,108134.0,110647,112943.0,113234.0,92689.0,95137.0,112319.43333333333,114210.74193548386,104505.0,107014.0,109182,109994.0,115817.0,117143.0,121232.0,127531.0,102167.0,102892.0,107690.0,116273.0,112830.0,114079,118356.0,125178.0,258538.0,281189.0,336962.4375,294700.0,240945.0,268251.0,277645.0,285076.0,,,,,307487.0,318297.0,325017.0,332145.0,305618.0,319228.0,324937.0,331237.0,306876,318601,324992.0,332119.0,345151.0,354866,449144.8,372260.0,341682.0,353103.0,364151.0,367805.0,344427.0,354678.0,367754.0,445733.6060606061,388979.0,402254.0,412902.0,416699.0,445719.3870967742,460466.625,404091.0,411342.0,386198.0,399732.0,410988.0,415681.0,533656.5454545454,438642.0,452653.0,480785.0,421757.0,433041.0,451305.0,477969.0,427402,437604.0,452580.0,587841.303030303
JAWA TENGAH,210932.0,218935.0,224987.0,231212.0,221840.0,232942.0,237901.0,241079.0,216823.0,226501.0,231673.0,236403.0,240655.0,244264.0,254959.0,259615.0,248154.0,252711.0,259564.0,265809.0,244606.0,248612.0,257293,262772.0,270631.0,284099.0,295446.0,297510.0,273501.0,282349.0,292760.0,295899.0,272080.0,283217,294095.0,296697.0,307367.0,316590.0,328539.0,440577.7419354839,302894.0,318487.0,330526.0,348420.0,305149,387619.22580645164,329511.0,349523.0,88079.0,89228.0,90282.0,91586.0,75025.0,77352.0,81287.0,81410.0,81028.0,82814.0,85675.0,86345.0,93866.0,95428.0,98281.0,99910,83518.0,84946.0,88642.0,89496.0,88618.0,90203,93582.0,94827.0,102252.0,103546,106325.0,106941.0,92106.0,93750.0,96035.0,96317.0,97305.0,98776.0,101313,101781.0,109458.0,110509.0,113940.0,119009.0,98245.0,100578.0,104259.0,111294.0,133146.54545454544,105745,109322.0,115356.0,254800.0,268397.0,279036.0,345928.15625,235202.0,256368.0,304420.6451612903,277802.0,,,,,299011.0,308163.0,315269.0,322799.0,296864.0,310295.0,319188.0,322489.0,297851,309315,317348.0,322748.0,334522.0,339692,353240.0,359526.0,331673.0,337657.0,348206.0,430205.93548387097,333224.0,338815.0,350875.0,357599.0,479680.0,387646.0,401771.0,404451.0,365607.0,460466.625,388796.0,392216.0,369385.0,381993.0,395408.0,398478.0,416825.0,427099.0,442479.0,469623.0,401139.0,419064.0,434785.0,459714.0,409193,423264.0,438833.0,464879.0
DI YOGYAKARTA,238042.0,249320.0,254284.0,257677.0,236342.0,241725.0,246960.0,250244.0,237473.0,246776.0,252284.0,255304.0,270924.0,290650.0,301252.0,305494.0,260248.0,262952.0,270706.0,271414.0,267500.0,282639.0,292472,296077.0,323635.0,338723.0,350055.0,350253.0,279124.0,286565.0,296144.0,296654.0,310947.0,322999,334461.0,335262.0,366206.0,370047.0,392290.0,412821.0,304443.0,325101.0,338551.0,352689.0,350057,358285.0,378902.0,398363.0,109745.0,110150.0,110502.0,112832.0,75669.21875,82662.0,84348.0,86986.0,98413.0,100945.0,101800.0,104865.0,114383.0,122981.0,125328.0,126522,87813.0,89909.0,95550.0,98191.0,106508.0,113632,117272.0,118822.0,128992.0,133943,137118.0,138208.0,99749.0,106183.0,107028.0,107382.0,121079.0,126486.0,129019,130166.0,140801.0,147305.0,157963.28125,161094.0,109797.0,113311.0,117032.0,128078.0,132798.0,138620,142770.0,152979.0,297391.0,317925.0,327273.0,333561.0,256558.0,275786.0,286137.0,296429.0,,,,,347787.0,359470.0,364786.0,370510.0,312249.0,324386.0,331308.0,337230.0,335886,347721,354084.0,360169.0,385308.0,413631,426580.0,432018.0,348061.0,352861.0,366256.0,369606.0,374008.0,396271.0,409744.0,414899.0,452628.0,472666.0,487173.0,488461.0,378873.0,392748.0,403173.0,404035.0,432026.0,449485.0,463480.0,465428.0,507007.0,517353.0,543821.0,573915.0,414240.0,438412.0,455583.0,480767.0,482855,496905.0,521672.0,551342.0
JAWA TIMUR,216139.0,222168.0,225900.0,233472.0,230565.0,240911.0,243840.0,246687.0,223641.0,231914.0,236455.0,240180.0,246077.0,272645.0,282265.0,296061.0,255319.0,260752.0,272436.0,279054.0,250804.0,266469.0,277349,287852.0,305759.0,310555.0,317234.0,317483.0,290587.0,294266.0,306255.0,309418.0,298341.0,302757,311891.0,313653.0,328596.0,344429.0,354405.0,374630.0,316010.0,327215.0,341452.0,361913.0,322671,336315.0,348399.0,368771.0,88779.0,92152.0,93762.0,95769.0,74839.0,77532.0,79939.0,82159.0,81530.0,84549.0,85307.0,88992.0,98086.0,99941.0,102744.0,103272,84218.0,87245.0,89057.0,89738.0,91287.0,93833,96225.0,96897.0,105971.0,108014,110942.0,111109.0,91740.0,93809.0,96247.0,96788.0,119200.75757575757,101415.0,104110,104574.0,113113.0,115011.0,118612.0,125139.0,98419.0,101242.0,104924.0,111568.0,106462.0,108825,112510.0,119136.0,265203.0,278653.0,287582.0,293391.0,250530.0,269294.0,278429.0,286798.0,,,,,304918.0,314320.0,319662.0,329241.0,305404.0,318443.0,323779.0,328846.0,305171,316463,388934.3103448276,329172.0,344164.0,372585,385009.0,399334.0,388259.96875,347997.0,361493.0,368793.0,342091.0,360302.0,373574.0,384750.0,411731.0,418570.0,428175.0,428593.0,382327.0,388075.0,402503.0,406206.0,397687.0,479007.14705882355,416001.0,418227.0,441709.0,459440.0,473017.0,499769.0,414429.0,428457.0,446375.0,473481.0,429133,445140.0,460909.0,587841.303030303
BANTEN,235211.0,248503.0,256536.0,261285.0,266264.7878787879,254860.0,262861.0,264755.0,237129.0,250522.0,261057.0,262442.0,271750.0,292643.0,316089.0,331095.0,274157.0,279609.0,321968.78125,301349.0,272551.0,288655.0,308915,322255.0,344073.0,358473.0,374474.0,376950.0,304403.0,323479.0,342546.0,355550.0,331601.0,347368,364725.0,370293.0,390893.0,405526.0,407307.06666666665,444996.0,364081.0,369466.0,387733.0,400849.0,382584,395258.0,412182.0,433368.0,109643.0,113120.58064516129,120516.0,121618.0,77247.0,81732.0,84904.0,84715.56666666667,99354.0,105914.0,97005.61764705883,110923.0,124857.0,128495.0,132429.0,137476,89431.0,93430.0,96862.0,104616.0,103349.74193548386,118333,122153.0,127852.0,140545.0,148725,153303.0,155147.0,107604.0,110445.0,118175.0,118937.0,131126.0,137728.0,143367,144818.0,158218.0,161474.0,166426.0,172532.0,121444.0,127748.0,133579.0,134341.67741935485,133146.54545454544,152225,158185.0,165380.0,273828.0,300109.0,315239.0,324902.0,242331.0,264632.0,281925.0,296241.0,,,,,344855.0,365672.0,377052.0,382903.0,318497.0,336592.0,347765.0,351708.0,336483,356436,367949.0,373365.0,396608.0,421137,448518.0,468572.0,363588.0,401420.63333333336,390309.0,405965.0,386752.0,406988.0,431068.0,445733.6060606061,484618.0,495289.7878787879,527777.0,532096.0,412007.0,433925.0,460721.0,474487.0,462727.0,485096.0,508092.0,515111.0,549111.0,567000.0,573399.8181818182,617527.0,485525.0,497213.0,521311.0,544957.0,530363,547483.0,552748.0909090909,598748.0
BALI,226679.0,231680.0,237835.0,242429.0,214350.0,222166.0,230108.0,233243.0,221931.0,228017.0,234393.0,238822.0,252294.0,252299.0,263613.0,268910.0,245927.0,251306.0,264685.0,267058.0,301366.1612903226,251921.0,263995,268274.0,278769.0,357538.8787878788,307459.0,374422.65625,269879.0,271679.0,358278.96774193546,284541.0,275834.0,285920,298945.0,302154.0,321245.0,325747.0,407307.06666666665,367036.0,291311.0,302550.0,318169.0,334827.0,312020,319095.0,338417.0,357640.0,106320.0,109874.0,112977.7741935484,114998.0,89655.0,92052.0,92552.0,94790.0,90238.9705882353,103011.0,104574.0,107576.0,118321.0,118820.0,123953.0,125078,99414.0,99519.0,108143.0,109674.0,111504.0,112143,118604.0,115039.25806451614,130026.0,131942,135611.0,141701.0,102005.58064516129,115867.0,120391.0,122774.0,119200.75757575757,126986.0,130889,136013.0,145944.0,148574.0,152669.0,163784.0,116392.21875,127328.0,131527.0,141203.0,140201.0,142437,146604.0,151527.875,287551.0,298449.0,310321.0,316235.0,249446.0,261613.0,304420.6451612903,279140.0,,,,,332999.0,341554.0,348571.0,357427.0,304005.0,314218.0,322660.0,328033.0,321834,331028,338967.0,346398.0,370615.0,371118,387566.0,459224.3548387097,345342.0,350826.0,372828.0,376733.0,361387.0,364064.0,382599.0,388451.0,408795.0,424292.0,443070.0,451634.0,383118.0,387546.0,466396.6451612903,407316.0,400624.0,412906.0,429834.0,438167.0,467189.0,474322.0,499572.0,530820.0,417722.0,429877.0,449697.0,476031.0,452221,461532.0,485021.0,515038.0
NUSA TENGGARA BARAT,238797.0,244162.0,251734.0,252343.0,232281.0,238879.0,249490.0,249501.0,235036.0,241112.0,250371.0,250737.0,259057.0,267116.0,279003.0,284496.0,255797.0,260052.0,271987.0,272119.0,257263.0,263301.0,275124,277943.0,294223.0,301167.0,312088.0,314001.0,280269.0,285008.0,293862.0,296269.0,286871.0,292522,302545.0,304982.0,325304.0,397542.25,349371.0,373497.0,311567.0,320916.0,336060.0,361266.0,318425,328699.0,342789.0,367535.0,89328.0,113120.58064516129,91846.0,94237.0,71786.0,80060.875,77166.0,79274.0,79202.0,81577.0,83624.0,100342.06451612903,120866.93548387097,96581.0,98141.0,99982,81535.0,83335.0,84374.0,91635.0,88078.0,89389,90777.0,95622.0,102473.0,103921,105643.0,105923.0,102005.58064516129,95683.0,112319.43333333333,100231.0,98009.0,99662.0,102397,103023.0,109147.0,153125.38235294117,121061.0,128090.0,101079.0,109465.0,112906.0,116558.0,105080.0,113012,117038.0,122419.0,286020.0,299886.0,307147.0,315470.0,243620.0,263107.0,274136.0,285205.0,,,,,328125.0,335284.0,343580.0,346581.0,304068.0,360935.32258064515,326656.0,369049.0333333333,314238,322689,333995.0,392059.42424242425,355250.0,363697,377145.0,384479.0,337333.0,343387.0,356361.0,363755.0,345341.0,352690.0,365901.0,373566.0,396696.0,405087.0,417730.0,419924.0,374123.0,380691.0,466396.6451612903,396500.0,384880.0,392184.0,404942.0,408005.0,434451.0,452855.0,470431.0,607293.6470588235,486128.0967741936,430381.0,448965.0,477824.0,423505,441711.0,459827.0,489954.0
NUSA TENGGARA TIMUR,260406.0,265296.0,275382.0,277266.0,232460.0,240102.0,252012.0,254257.0,262380.93548387097,245160.0,256245.0,258985.0,290711.0,308847.0344827586,299104.0,301642.0,268003.0,268253.0,273466.0,275681.0,272537.0,273325.0,278911,281069.0,317432.0,337056.0,357134.0,374422.65625,285352.0,289037.0,305029.0,305413.0,292305.0,299476,316130.0,316659.0,367201.0,385169.0,402228.0,440577.7419354839,372772.96774193546,333436.0,344813.0,366047.0,324545,344666.0,358224.0,380566.0,104514.0,109059.0,110757.0,112395.0,48561.0,50261.0,54709.0,56039.0,59793.0,62064.0,66702.0,68018.0,116262.0,117333.0,119421.0,120212,58316.0,60883.0,63119.0,66622.0,70859.0,73412,75987.0,115039.25806451614,124193.0,130258,137255.0,138027.0,68332.0,69974.0,71183.0,71833.0,81617.0,125809.42424242424,86875,88053.0,141383.0,146024.0,156513.0,170478.0,73829.0,75333.0,84266.0,89496.0,90571.0,92941,102599.0,110343.0,308059.0,321163.0,337367.0,340459.0,217918.0,234141.0,248606.0,251040.0,,,,,364920.0,374355.0,386139.0,402562.57575757575,281022.0,290363.0,306721.0,310296.0,297863,307224,388934.3103448276,327003.0,406973.0,409382,418525.0,421855.0,326320.0,329136.0,336584.0,342303.0,343396.0,346737.0,354898.0,360069.0,441625.0,467314.0,494388.0,496191.0,353684.0,359011.0,376212.0,377246.0,373922.0,383762.0,494063.0588235294,404712.0,508584.0,531194.0,558741.0,594016.0,385970.0,511958.75,429079.0,455543.0,415116,437607.0,460823.0,490909.0
KALIMANTAN BARAT,250029.0,259948.0,265291.0,275590.0,257337.0,271176.0,277422.0,289535.0,255104.0,267745.0,275121.0,286891.4482758621,286049.0,305430.0,323125.0,331134.0,302069.0,315188.0,320747.0,325649.4375,297455.0,312222.0,321481,328114.0,348116.0,366155.0,379108.0,382408.0,337213.0,345098.0,351955.0,353089.0,340782.0,351667,361075.0,362874.0,388798.0,407296.0,418006.0,445660.0,360819.0,384677.0,387226.0,407998.0,370423,387342.0,397561.0,421139.0,84546.0,87567.0,87852.0,90887.0,61456.0,66112.0,68058.0,71406.0,68511.0,72668.0,72760.0,77489.0,93137.0,96157.0,100003.0,103335,73552.0,79124.0,81602.0,87098.0,79764.0,84620,87805.0,92716.0,108409.0,110999,121023.0,122037.0,92007.0,95986.0,104237.0,114210.74193548386,97773.0,101232.0,110125,129467.61764705883,124543.0,133177.0,140781.0,146772.0,106543.0,120602.33333333333,112823.0,121058.0,113031.0,117885,123099.0,130528.0,263058.0,280423.0,291533.0,307789.0,242321.0,265898.0,279049.0,294044.0,,,,,334575.0,347516.0,353143.0,366477.0,318792.0,337288.0,345480.0,360940.0,323615,340413,347881.0,363026.0,379187.0,401588,423128.0,434470.0,375621.0,394313.0,402349.0,413806.0,377219.0,396842.0,409286.0,420831.0,456525.0,477154.0,500131.0,504445.0,429220.0,441084.0,456192.0,458524.0,438555.0,452899.0,471200.0,474259.0,513341.0,540474.0,558787.0,592432.0,467362.0,486544.0,500049.0,529055.0,483454,505227.0,520660.0,551667.0
KALIMANTAN TENGAH,251976.0,256020.0,264149.0,271490.0,296856.0,306475.0,316546.0,320315.0,281506.0,289219.0,299485.0,303541.0,298706.3333333333,286272.0,290898.0,305217.0,338235.0,342574.0,347960.0,356962.0,301366.1612903226,325133.0,328127,338032.0,317184.0,337107.0,358205.0,362579.0,363433.0,376076.0,397192.0,402086.0,346454.0,361419,382954.0,387865.0,371472.0,374314.0,392777.0,416222.0,412878.0,429419.0,451136.0,478269.0,396514,407871.0,426914.0,453342.0,76698.0,83219.0,112977.7741935484,85734.0,63814.0,68463.0,70656.0,72228.0,68220.0,73510.0,73999.0,76983.0,90018.0,92039.0,96241.0,98329,75766.0,76287.0,78636.0,83686.0,80900.0,81703,113105.96875,115039.25806451614,100845.0,106567,113479.0,116294.0,85750.0,88855.0,112319.43333333333,96873.0,91794.0,95993.0,102680,104754.0,122681.0,125240.0,132451.0,140978.0,101865.0,107716.0,114225.0,124756.0,110468.0,115008,121903.0,131597.0,301874.77419354836,299970.0,307382.0,316683.0,298172.0,311647.0,323556.0,338130.0,,,,,328674.0,339239.0,348254.0,357224.0,360670.0,374938.0,387202.0,392543.0,349726,362729,388934.3103448276,380524.0,373219.0,378311,387139.0,403547.0,414002.0,418861.0,426596.0,440649.0,401536.0,406836.0,413528.0,427494.0,418029.0,443674.0,471684.0,478873.0,449184.0,464931.0,492603.0,498959.0,438248.0,457412.0,485634.0,492619.0,494153.0,499553.0,525228.0,557200.0,514743.0,537135.0,565361.0,603025.0,506982,522879.0,548817.0,584939.0
KALIMANTAN SELATAN,229677.0,235422.0,248602.0,257170.0,255023.0,271860.0,286982.0,294159.0,244281.0,256417.0,270862.0,278536.0,268327.0,282483.0,288601.0,294677.0,302037.0,309046.0,313712.0,323191.0,287959.0,297743.0,302854,310496.0,312945.0,322321.0,337851.0,341730.0,335341.0,354054.0,370662.0,374563.0,325590.0,340430,355813.0,360394.0,356053.0,362027.0,379337.0,440577.7419354839,384188.0,389770.0,411135.0,431084.0,371204,376894.0,396308.0,415976.0,124426.0,136370.0,137860.0,141992.0,76943.0,81112.0,83630.0,86488.0,97068.0,104532.0,106618.0,110736.0,144125.0,152307.0,152617.0,153198,91060.0,98337.0,100783.0,101478.0,114464.0,122231,124920.0,125666.0,157348.0,161445,165897.0,167122.0,108587.0,116394.0,119592.0,121152.0,131631.0,137693.0,141449,143292.0,171187.0,174014.0,180716.0,189362.0,126184.0,127523.0,133660.0,141833.0,147946.0,150151,156765.0,165254.0,298518.0,313691.0,322006.0,336782.0,272614.0,290576.0,298656.0,313954.0,,,,,354103.0,371793.0,386462.0,399162.0,331966.0,352972.0,370612.0,380647.0,341349,360949,377480.0,389272.0,412452.0,434791,441218.0,447876.0,393097.0,407382.0,414494.0,424670.0,402423.0,419974.0,427774.0,436162.0,470293.0,483766.0,503748.0,508852.0,443928.0,470447.0,490254.0,495715.0,457221.0,478123.0,497262.0,503686.0,527240.0,536041.0,560053.0,588472.0,486128.0967741936,517293.0,544795.0,572917.0,519150,527045.0,553073.0,581230.0
KALIMANTAN TIMUR,337970.0,348480.0,359194.0,370609.0,333612.0,275124.0967741936,364879.0,375619.0,336356.0,348524.0,363918.0,286891.4482758621,387723.0,391088.0,394601.0,411445.0,391851.0,410491.0,424731.0,435063.0,389151.0,398030.0,405108,419549.0,422701.0,437601.0,453545.0,462661.0,441376.0,465407.0,358278.96774193546,486520.0,429165.0,446840,463823.0,470589.0,479168.0,488748.0,507661.0,541868.0,498601.0,509282.0,526674.0,556626.0,485445,387619.22580645164,513874.0,546669.0,147917.0,156071.0,112977.7741935484,164529.0,119387.0,128016.0,131096.0,134422.0,137353.0,145683.0,147287.0,154269.0,168156.0,173713.0,181664.0,190174,140868.0,144007.0,145280.0,154524.0,158943.0,163838,169596.0,178650.0,191520.0,205447,212425.0,212738.0,156075.0,162946.0,169485.0,169549.0,179991.0,191850.0,198479,199033.0,216656.0,218138.0,224534.0,230245.0,175035.0,183628.0,191875.0,201939.0,203590.0,207438,214334.0,221451.0,301874.77419354836,435313.0,448220.0,459004.0,349935.0,389784.0,404554.0,312594.06451612903,,,,,485887.0,504551.0,519653.0,535137.0,337648.86666666664,476614.0,495975.0,510041.0,473709,494207,511205.0,526686.0,555880.0,564801,576265.0,601619.0,388259.96875,401420.63333333336,570012.0,589588.0,548094.0,415377.36363636365,574704.0,598200.0,614221.0,643047.0,665970.0,675399.0,597451.0,628354.0,652620.0,656069.0,609156.0,638690.0,662302.0,669622.0,695824.0,706886.0,732195.0,772112.0,486128.0967741936,692910.0,718550.0,758565.0,689035,703223.0,728208.0,768120.0
